OBJECTID,Input_FID,Americ_ESPop,Asian_Pop,Black_Pop,Hawn_PiPop,Hispanic,Multi_Race,WhitePop,Other_Pop,TotPop,Shape__Area,Shape__Length
1,989,71,0,532,79,47,57,42,66,583,1461417.81494141,4499.99991697542
2,1912,14,0,4,11,2,11,140,10,163,1461417.81591797,4499.99991697356
3,1816,4,1,2,5,2,8,91,3,89,1461417.81542969,4499.99991695949
4,1395,1,0,2,3,1,3,26,1,40,1461417.81542969,4499.99991696211
5,1390,37,4,57,41,19,35,252,26,311,1461417.81542969,4499.99991697008
6,1411,23,5,24,29,77,25,164,4,259,1461417.81494141,4499.99991699666
7,1381,10,2,1,14,4,15,170,13,158,1461417.81542969,4499.99991696322
8,981,3,0,4,1,4,6,40,3,50,1461417.81494141,4499.99991698632
9,961,34,0,78,38,494,6,210,3,597,1461417.81542969,4499.99991698252
10,990,72,1,394,45,25,60,158,53,619,1461417.81445313,4499.99991698167
11,595,2,2,18,4,4,7,164,7,163,1461418.18457031,4500.0004852327
12,566,12,2,15,10,2,8,169,8,232,1461417.81542969,4499.99991697363
13,166,7,16,42,7,11,8,95,6,153,1461417.81494141,4499.99991695606
14,266,6,10,39,6,6,8,95,5,188,1461417.81494141,4499.99991699208
15,268,1,5,31,2,5,2,137,1,175,1461417.81542969,4499.99991698103
16,473,3,3,3,1,1,2,19,0,39,1461417.81494141,4499.99991697625
17,495,5,7,21,3,1,8,94,5,150,1461417.81494141,4499.9999169674
18,468,3,5,53,2,9,6,150,4,186,1461417.81445313,4499.99991695035
19,466,8,20,51,6,18,6,78,3,149,1461417.81494141,4499.99991698561
20,488,3,13,17,4,36,6,123,4,197,1461417.81494141,4499.99991698782
21,661,12,5,52,19,254,15,213,1,445,1461417.81494141,4499.99991698747
22,688,9,4,64,11,17,11,224,13,292,1461417.81542969,4499.99991697258
23,666,19,9,83,17,30,21,239,20,337,1461417.81494141,4499.99991697613
24,668,6,6,15,2,6,7,128,5,165,1461417.81445313,4499.99991698078
25,695,5,4,13,6,2,6,196,4,189,1461417.81445313,4499.9999169948
26,673,14,34,108,13,29,10,259,13,451,1461417.81494141,4499.99991699953
27,868,19,4,41,27,5,21,260,16,283,1461417.81542969,4499.99991699522
28,890,45,6,309,48,50,40,161,29,587,1461417.81542969,4499.99991699684
29,888,24,1,249,27,39,22,11,11,333,1461417.81494141,4499.99991698304
30,861,19,6,88,18,169,12,138,8,268,1461417.81494141,4499.9999170108
31,1081,3,0,1,2,6,4,42,4,52,1461417.81494141,4499.99991695145
32,1083,6,0,0,2,8,2,51,5,55,1461417.81445313,4499.99991696356
33,1111,11,0,29,13,76,15,49,4,120,1461417.81445313,4499.99991697956
34,1088,51,1,160,34,23,50,208,48,422,1461417.81445313,4499.99991697008
35,1090,43,2,342,33,30,41,176,41,560,1461417.81542969,4499.99991694729
36,1295,2,1,0,3,1,2,55,2,70,1461417.81445313,4499.99991698439
37,1318,2,1,4,7,0,2,57,5,72,1461417.81494141,4499.99991696498
38,1290,27,12,44,22,24,23,225,29,334,1461417.81494141,4499.99991698625
39,1288,28,6,45,39,28,37,328,39,425,1461417.81445313,4499.99991697549
40,1311,18,0,6,20,29,24,35,25,74,1461417.81494141,4499.99991698625
41,1283,25,2,2,23,29,32,255,30,300,1461417.81542969,4499.99991698515
42,1281,7,0,1,8,3,10,140,5,121,1461417.81396484,4499.99991697642
43,1304,4,0,0,3,2,3,112,3,114,1461417.81396484,4499.99991697711
44,1504,6,2,0,6,1,8,134,4,135,1461417.81445313,4499.99991698169
45,1481,16,1,0,16,0,19,192,15,183,1461417.81445313,4499.99991699073
46,1483,26,1,6,37,38,26,296,30,348,1461417.81445313,4499.99991697922
47,1511,26,2,15,19,55,20,156,10,235,1461417.81542969,4499.99991697473
48,1488,13,7,85,15,57,15,202,16,360,1461417.81445313,4499.99991695728
49,1516,12,11,71,10,11,5,133,16,211,1461417.81445313,4499.99991698245
50,1518,10,4,29,7,3,5,143,10,223,1461417.81445313,4499.99991698177
51,1495,3,1,0,1,0,2,41,1,37,1461417.81494141,4499.99991697525
52,1695,0,1,0,5,1,2,25,1,43,1461417.81494141,4499.99991698939
53,1718,8,4,2,1,7,6,100,3,118,1461417.81494141,4499.99991696356
54,1716,7,3,55,4,2,7,102,9,169,1461417.81494141,4499.99991695839
55,1688,23,6,29,13,22,15,246,15,268,1461417.81494141,4499.99991698515
56,1711,8,1,10,12,25,8,103,10,136,1461417.81445313,4499.99991698225
57,1683,8,1,0,3,4,9,69,7,69,1461417.81494141,4499.99991697084
58,1681,6,0,0,9,1,8,97,6,108,1461417.81445313,4499.99991699108
59,1704,8,0,0,5,0,9,93,10,116,1461417.81445313,4499.99991699608
60,1888,31,5,2,25,2,20,230,25,198,1461417.81542969,4499.99991697855
61,1916,4,1,3,4,1,4,107,6,103,1461417.81494141,4499.99991697787
62,2116,11,0,10,11,5,5,156,8,159,1461417.81494141,4499.99991698338
63,2088,26,0,2,29,7,30,181,28,162,1461417.81494141,4499.9999169948
64,2089,8,1,9,8,3,9,151,6,148,1461417.81494141,4499.99991697515
65,1988,8,0,8,10,1,5,187,8,174,1461417.81591797,4499.99991699563
66,1989,7,0,10,17,2,16,167,13,162,1461417.81542969,4499.99991697353
67,2016,13,1,8,13,3,9,120,13,146,1461418.18408203,4500.00048523613
68,2017,15,1,0,6,1,9,85,7,107,1461418.18408203,4500.00048522682
69,2018,5,2,0,13,1,10,107,4,72,1461418.18359375,4500.00048522827
70,1917,2,1,3,3,1,7,105,6,101,1461417.81494141,4499.99991698421
71,1889,23,0,2,28,4,22,219,24,234,1461417.81494141,4499.99991697456
72,1804,0,2,0,0,0,2,22,2,23,1461417.81542969,4499.99991694949
73,1805,2,0,0,0,1,3,32,0,29,1461417.81494141,4499.99991694314
74,1812,10,1,2,17,6,11,141,20,154,1461417.81542969,4499.99991694001
75,1788,25,1,2,32,5,17,199,24,208,1461417.81494141,4499.99991695949
76,1789,18,1,1,19,9,18,193,23,216,1461417.81494141,4499.99991694991
77,1817,3,1,6,8,2,6,102,4,113,1461417.81542969,4499.99991695329
78,1818,6,4,2,4,2,7,92,7,94,1461417.81542969,4499.99991696584
79,1796,3,1,0,3,0,4,61,7,64,1461417.81494141,4499.99991695956
80,1696,1,0,1,1,0,3,38,0,39,1461417.81494141,4499.9999169958
81,1717,3,2,17,6,6,7,114,7,119,1461417.81445313,4499.99991699411
82,1689,7,7,29,12,10,10,176,10,238,1461417.81494141,4499.99991697559
83,1712,28,4,11,30,19,34,262,20,283,1461417.81494141,4499.9999169898
84,1710,14,1,5,10,28,14,108,14,145,1461417.81542969,4499.9999169628
85,1682,2,1,0,9,1,4,77,8,78,1461417.81542969,4499.99991696204
86,1705,5,0,1,8,1,1,114,6,106,1461417.81542969,4499.99991696211
87,1603,6,0,0,7,0,10,92,6,98,1461418.18359375,4500.00048523334
88,1604,5,0,0,7,0,7,114,3,111,1461418.18457031,4500.00048523386
89,1605,7,0,0,6,0,9,92,6,106,1461418.18359375,4500.00048523248
90,1581,4,0,0,4,4,7,99,5,112,1461418.18408203,4500.00048523486
91,1582,13,3,0,8,2,12,159,11,136,1461418.18457031,4500.00048523182
92,1583,23,8,0,28,24,32,363,29,423,1461418.18408203,4500.00048523537
93,1610,27,3,4,23,31,14,171,25,184,1461418.18505859,4500.00048522903
